Crop,Records,Average_Yield,Median_Yield,Minimum_Yield,Maximum_Yield,Performance_Score,Recommendation
Coconut,172,8652.000198744186,8466.315523,0.0,21105.0,100.0,Highly Recommended
Sugarcane,605,51.72743941127438,53.15815789,0.29,165.0,0.5978668310569673,Needs Further Analysis
Banana,245,26.851127854040815,17.94875,0.0,126.3876923,0.310345899644549,Needs Further Analysis
Tapioca,201,16.66730148311443,11.11777778,0.0,42.09785714,0.19264102057618585,Needs Further Analysis
Potato,628,13.331717759538218,10.175284090000002,0.0,311.02,0.1540882738476275,Needs Further Analysis
Onion,454,13.247524628323788,9.192846154000001,0.0,381.42,0.15311516786888918,Needs Further Analysis
Sweet potato,273,9.240788497794872,8.512727273,0.0,26.33944444,0.10680522752572459,Needs Further Analysis
Jute,181,7.555392696430939,8.14625,0.0,25.43055556,0.08732538745812307,Needs Further Analysis
Ginger,323,6.442201573232198,4.8875,0.0,36.35782609,0.07445910107777466,Needs Further Analysis
Mesta,210,5.389203528904762,4.93525,0.0,17.67875,0.06228852756715135,Needs Further Analysis
Garlic,250,4.544885948904,3.3068068965,0.0,17.0,0.05252988724576864,Needs Further Analysis
Maize,975,3.4272159774543587,1.955454545,0.0,989.87,0.03961183424327486,Needs Further Analysis
Turmeric,337,3.325392493047478,2.015714286,0.0,19.30891304,0.03843495627207856,Needs Further Analysis
Cashewnut,134,3.1204381424402983,0.4625,0.0,338.5489655,0.036066089583460956,Needs Further Analysis
Bajra,524,2.4274620064561065,1.0359375,0.208,74.30307692,0.02805665685038294,Needs Further Analysis
Rice,1197,2.218494541018379,2.203636364,0.016666667,8.778275862,0.0256414064962734,Needs Further Analysis
Tobacco,364,2.110708415263736,1.3938888889999999,0.0,57.1205,0.02439561219115667,Needs Further Analysis
Dry chillies,419,2.078329703491647,1.012857143,0.205,14.0,0.024021378360501083,Needs Further Analysis
Arecanut,162,2.073635437234568,1.2940584419999999,0.0,10.94818182,0.023967121932516256,Needs Further Analysis
Wheat,545,2.0050864420862387,1.668461538,0.0,5.068636364,0.023174831206976526,Needs Further Analysis
Oilseeds total,29,1.9955592676551723,1.115294118,0.9325,8.527692308,0.02306471592481958,Needs Further Analysis
Cotton(lint),476,1.7970441190063025,1.4283653845,0.0,95.99391304,0.02077027366766749,Needs Further Analysis
other oilseeds,126,1.7892204170396826,0.605,0.0,21.38,0.020679847156029687,Needs Further Analysis
Barley,297,1.5955400493097642,1.371714286,0.26,3.988235294,0.01844128539827533,Needs Further Analysis
