Season,count,mean,median
Whole Year,3717,412.99546264756793,4.295121951
Winter,389,5.287267240637532,1.545333333
Autumn,414,3.9174820186642516,1.091677019
Summer,1195,2.997369977097908,1.67375
Kharif,8232,2.482002017342687,0.9242261905
Rabi,5742,1.9885177393826194,0.902659933
