,Sustainability_Score,Fertilizer_Pressure,Pesticide_Pressure,Sustainability_Level
0,50.0,100.0,100.0,Moderate
1,82.98753858251305,25.57348413561524,42.47636153433254,Better
2,97.95963247124911,3.067122701815538,5.094347413187992,Better
3,56.065526436279455,75.73789425488218,100.0,Moderate
4,95.5424634013847,6.70066127946887,11.129485114992361,Better
5,65.17277184279115,52.3530102381504,86.955902390685,Moderate
6,92.36400142192352,11.47859111646795,19.065403195837977,Better
7,50.0,100.0,100.0,Moderate
8,74.11604107371053,38.90930281775541,64.62653288740245,Better
9,56.48937505085195,74.04249979659218,100.0,Moderate
10,84.83822370281223,22.791495956330287,37.855609232420825,Better
11,74.58768381904993,38.20031968065231,63.448945043147944,Better
12,79.92442401359685,30.178021357561924,50.124282588050704,Better
13,50.0,100.0,100.0,Moderate
14,50.0,100.0,100.0,Moderate
15,50.0,100.0,100.0,Moderate
16,50.0,100.0,100.0,Moderate
17,50.0,100.0,100.0,Moderate
18,50.0,100.0,100.0,Moderate
19,59.813696798328536,60.74521280668588,100.0,Moderate
20,73.11123696407442,40.41974515332286,67.13530699037945,Better
21,50.0,100.0,100.0,Moderate
22,75.95647309085014,36.142727315364006,60.031380321235396,Better
23,93.68152517792596,9.498062135647363,15.775837152648744,Better
24,98.89010158297849,1.6684222737262915,2.7711713943597998,Better
25,74.18524952003752,38.80526724872397,64.45373467112597,Better
26,50.0,100.0,100.0,Moderate
27,50.0,100.0,100.0,Moderate
28,50.0,100.0,100.0,Moderate
29,50.0,100.0,100.0,Moderate
30,97.8981138522918,3.15959876317681,5.247945827655972,Better
31,90.19547010367823,14.738372279452804,24.479747305834263,Better
32,54.54930434687692,81.80278261249231,100.0,Moderate
33,58.31866713965462,66.7253314413815,100.0,Moderate
34,50.0,100.0,100.0,Moderate
35,88.29864601916108,17.589717504758706,29.21569841859697,Better
36,87.0272612273766,19.50088943955834,32.39006565093522,Better
37,90.72350491639516,13.944619419435215,23.161360914984105,Better
38,50.0,100.0,100.0,Moderate
39,50.0,100.0,100.0,Moderate
40,50.0,100.0,100.0,Moderate
41,50.0,100.0,100.0,Moderate
42,50.0,100.0,100.0,Moderate
43,50.0,100.0,100.0,Moderate
44,84.26917647745708,23.64689952392206,39.27639456624964,Better
45,50.0,100.0,100.0,Moderate
46,50.0,100.0,100.0,Moderate
47,75.05932656438934,37.491336543549224,62.271357198893426,Better
48,50.0,100.0,100.0,Moderate
49,50.0,100.0,100.0,Moderate
50,65.34194804492375,52.09870106940689,86.53350675089806,Moderate
51,50.0,100.0,100.0,Moderate
52,50.0,100.0,100.0,Moderate
53,50.0,100.0,100.0,Moderate
54,50.0,100.0,100.0,Moderate
55,88.87025652030611,16.73046076794355,27.78851315083199,Better
56,50.0,100.0,100.0,Moderate
57,50.0,100.0,100.0,Moderate
58,50.0,100.0,100.0,Moderate
59,50.0,100.0,100.0,Moderate
60,50.0,100.0,100.0,Moderate
61,50.0,100.0,100.0,Moderate
62,75.4720139665613,36.870976298584026,61.240967835170736,Better
63,97.78276644174683,3.3329913782291962,5.535942854783434,Better
64,86.57099813677654,20.18675356132111,33.52925389157273,Better
65,99.92310172630336,0.11559507670159062,0.1919980180849746,Better
66,80.6626474410846,29.068308621226656,48.281101614434945,Better
67,95.47325495505771,6.804696848500303,11.302283331268839,Better
68,81.14198001379367,28.347765976453402,47.08431396837194,Better
69,98.8644688250796,1.706953965960155,2.8351707337214584,Better
70,89.12402082350503,16.3489970148283,27.154919691151573,Better
71,99.87183621050559,0.1926584611693177,0.319996696808291,Better
72,58.45545464708485,66.17818141166063,100.0,Moderate
73,87.98336309700485,18.06365731923523,30.002890292745366,Better
74,97.79301954490639,3.317578701335651,5.5103431190387715,Better
75,95.10670651710373,7.355700047444551,12.21747388414055,Better
76,54.99819856140144,80.00720575439425,100.0,Moderate
77,82.27751118871406,26.640812010493253,44.24914323465048,Better
78,50.0,100.0,100.0,Moderate
79,96.60109630260845,5.109302390210306,8.486312399355878,Better
80,92.81257468515392,10.804286502375337,17.945414757008958,Better
81,97.69817834068053,3.460145962600946,5.747140674676906,Better
82,99.78981138522919,0.315959876317681,0.5247945827655973,Better
83,86.6402065831035,20.082717992289677,33.35645567529625,Better
84,89.85199114783323,15.25469695538658,25.337338453280477,Better
85,98.09804936390306,2.8590515637526748,4.748750980635038,Better
86,96.40885061836686,5.398290081964283,8.966307444568313,Better
87,89.01123668874996,16.518536460657298,27.436516784342867,Better
88,79.34512368508214,31.048837602047243,51.57066765762418,Better
89,90.6953088827064,13.987004280892466,23.231760188281925,Better
90,99.46940191149318,0.7976060292409752,1.3247863247863247,Better
91,84.32300526904473,23.56598297023094,39.14199595359016,Better
92,93.14580053783936,10.30337450333511,17.113423345307403,Better
93,98.3082379786739,2.543091687434994,4.223956397869441,Better
94,51.61800586018575,93.52797655925698,100.0,Moderate
95,50.0,100.0,100.0,Moderate
96,50.0,100.0,100.0,Moderate
97,50.45049558549968,98.19801765800125,100.0,Moderate
98,50.0,100.0,100.0,Moderate
99,85.530308166082,21.75114026601597,36.12762706965606,Better
100,97.57001455118613,3.652804423770264,6.067137371485197,Better
101,50.0,100.0,100.0,Moderate
102,50.666273062009324,97.3349077519627,100.0,Moderate
103,59.11916304581314,63.523347816747446,100.0,Moderate
104,50.0,100.0,100.0,Moderate
105,50.0,100.0,100.0,Moderate
106,75.16442087177474,37.33335660539039,62.00895990751063,Better
107,96.18071907306681,5.741222142845667,9.535901564887071,Better
108,91.62065144285599,12.596010191249993,20.921384037326067,Better
109,74.47233640850497,38.373712295704706,63.736942070275404,Better
110,50.0,100.0,100.0,Moderate
111,83.30794805624907,25.09183798269194,41.67636979231182,Better
112,96.72157026473319,4.928203436711147,8.185515504356083,Better
113,50.0,100.0,100.0,Moderate
114,67.68478211688144,48.576904399231765,80.68396713324249,Moderate
115,50.0,100.0,100.0,Moderate
116,50.0,100.0,100.0,Moderate
117,50.0,100.0,100.0,Moderate
118,50.0,100.0,100.0,Moderate
119,72.31662146920914,41.61422761257263,69.11928651059085,Better
120,94.8349992833756,7.764135985123503,12.895866881374127,Better
121,50.0,100.0,100.0,Moderate
122,87.06571036422494,19.443091901207545,32.29406664189273,Better
123,96.01410614672409,5.991678142365782,9.95189727073785,Better
124,50.14994838607555,99.4002064556978,100.0,Moderate
125,99.28740933041112,1.0711810441014065,1.779181634254098,Better
126,68.00775486640732,48.091405077085085,79.8775754572856,Moderate
127,50.0,100.0,100.0,Moderate
128,58.918798246197056,64.32480701521179,100.0,Moderate
129,50.0,100.0,100.0,Moderate
130,99.83521164841312,0.2640090981596904,0.39514430818778645,Better
131,99.6279778123266,0.5960205397847558,0.8920682109087906,Better
132,99.97003848152966,0.048001654210852805,0.07184441967050663,Better
133,99.99500641358827,0.008000275701808801,0.011974069945084436,Better
134,98.86895267774466,1.8120624464596935,2.712126842561625,Better
135,99.98002565435311,0.032001102807235206,0.047896279780337746,Better
136,97.3883543066687,4.184144192046004,6.26243858127916,Better
137,99.9350833766476,0.10400358412351442,0.1556629092860977,Better
138,99.7203591609435,0.4480154393012929,0.6705479169247284,Better
139,87.65335759701412,19.78068167272226,29.60588793922127,Better
140,65.14227005296544,55.845924536476346,83.58499525166192,Moderate
141,85.72833003529479,22.864787955769554,34.22189190305133,Better
142,99.63297139873833,0.5880202640829468,0.8800941409637062,Better
143,99.99001282717654,0.016000551403617603,0.023948139890168873,Better
144,93.23369041211491,10.840373575950926,16.224864775589413,Better
145,98.37958120939578,2.5960894652369557,3.8855856971799003,Better
146,50.0,100.0,100.0,Moderate
147,80.8820544227173,30.629055524374994,45.84272678475577,Better
148,50.0,100.0,100.0,Moderate
149,95.68554134027106,6.9122382063628045,10.345596432552954,Better
150,54.833305024665464,80.66677990133815,100.0,Moderate
151,95.87529762391654,6.60822772969407,9.890581774639745,Better
152,63.237216836893,58.898029716716394,88.15310293571163,Moderate
153,92.50462679600331,12.00841382841501,17.973078987571743,Better
154,50.0,100.0,100.0,Moderate
155,74.47777984968216,40.88940911194478,61.19947148932656,Better
156,55.18931729339596,79.24273082641618,100.0,Moderate
157,86.8668677371677,21.040725095757146,31.491803955572074,Better
158,78.14556906909293,35.01320660896622,52.40451711466204,Better
159,79.81842051702024,32.33311424886027,48.39320368305876,Better
160,50.0,100.0,100.0,Moderate
161,50.0,100.0,100.0,Moderate
162,50.0,100.0,100.0,Moderate
163,50.0,100.0,100.0,Moderate
164,50.0,100.0,100.0,Moderate
165,50.0,100.0,100.0,Moderate
166,60.201116298565225,63.76219734341615,95.43333746232298,Moderate
167,73.66632205777712,42.18945391348871,63.14525785540278,Better
168,50.0,100.0,100.0,Moderate
169,76.447749689107,37.73330034758121,56.475700895990755,Better
170,93.01397260999909,11.192385706830514,16.75172385317313,Better
171,96.34219795341268,5.860201951574947,8.771006234774351,Better
172,73.2119056943103,42.91747900235331,64.23489822040546,Better
173,50.0,100.0,100.0,Moderate
174,96.25481019120751,6.000206776356601,8.980552458813328,Better
175,95.25609290886285,7.6002619167183605,11.375366447830215,Better
176,99.37580169853459,1.0000344627261002,1.4967587431355547,Better
177,50.0,100.0,100.0,Moderate
